slug,startDate,endDate,p_up,p_down
btc-updown-5m-1777808700,2026-05-02T11:53:44.264121Z,2026-05-03T11:50:00Z,1,0
btc-updown-5m-1777809000,2026-05-02T11:58:39.865867Z,2026-05-03T11:55:00Z,0,1
btc-updown-5m-1777809300,2026-05-02T12:05:15.888959Z,2026-05-03T12:00:00Z,0,1
btc-updown-5m-1777809600,2026-05-02T12:08:29.794491Z,2026-05-03T12:05:00Z,1,0
btc-updown-5m-1777809900,2026-05-02T12:13:42.003507Z,2026-05-03T12:10:00Z,1,0
btc-updown-5m-1777810200,2026-05-02T12:19:10.039661Z,2026-05-03T12:15:00Z,1,0
btc-updown-5m-1777810500,2026-05-02T12:24:10.112729Z,2026-05-03T12:20:00Z,0,1
btc-updown-5m-1777810800,2026-05-02T12:28:08.972508Z,2026-05-03T12:25:00Z,1,0
btc-updown-5m-1777811100,2026-05-02T12:33:23.02794Z,2026-05-03T12:30:00Z,0,1
btc-updown-5m-1777811400,2026-05-02T12:39:05.697223Z,2026-05-03T12:35:00Z,0,1
btc-updown-5m-1777811700,2026-05-02T12:43:45.911522Z,2026-05-03T12:40:00Z,1,0
btc-updown-5m-1777812000,2026-05-02T12:48:39.962041Z,2026-05-03T12:45:00Z,1,0
btc-updown-5m-1777812300,2026-05-02T12:53:25.855519Z,2026-05-03T12:50:00Z,0,1
btc-updown-5m-1777812600,2026-05-02T12:59:13.4329Z,2026-05-03T12:55:00Z,0,1
btc-updown-5m-1777812900,2026-05-02T13:04:20.045827Z,2026-05-03T13:00:00Z,0,1
btc-updown-5m-1777813200,2026-05-02T13:09:21.556964Z,2026-05-03T13:05:00Z,0,1
btc-updown-5m-1777813500,2026-05-02T13:14:22.211584Z,2026-05-03T13:10:00Z,1,0
btc-updown-5m-1777813800,2026-05-02T13:19:08.099654Z,2026-05-03T13:15:00Z,1,0
btc-updown-5m-1777814100,2026-05-02T13:25:26.2958Z,2026-05-03T13:20:00Z,0,1
btc-updown-5m-1777814400,2026-05-02T13:28:34.359433Z,2026-05-03T13:25:00Z,1,0
btc-updown-5m-1777814700,2026-05-02T13:34:13.450173Z,2026-05-03T13:30:00Z,0,1
btc-updown-5m-1777815000,2026-05-02T13:38:52.11055Z,2026-05-03T13:35:00Z,1,0
btc-updown-5m-1777815300,2026-05-02T13:44:17.477872Z,2026-05-03T13:40:00Z,1,0
btc-updown-5m-1777815600,2026-05-02T13:48:36.081856Z,2026-05-03T13:45:00Z,0,1
btc-updown-5m-1777815900,2026-05-02T13:53:36.998112Z,2026-05-03T13:50:00Z,0,1
btc-updown-5m-1777816200,2026-05-02T13:58:33.290053Z,2026-05-03T13:55:00Z,1,0
btc-updown-5m-1777816500,2026-05-02T14:04:10.487779Z,2026-05-03T14:00:00Z,1,0
btc-updown-5m-1777816800,2026-05-02T14:09:12.263939Z,2026-05-03T14:05:00Z,1,0
btc-updown-5m-1777817100,2026-05-02T14:14:14.032927Z,2026-05-03T14:10:00Z,1,0
btc-updown-5m-1777817400,2026-05-02T14:19:04.606369Z,2026-05-03T14:15:00Z,0,1
btc-updown-5m-1777817700,2026-05-02T14:23:37.005273Z,2026-05-03T14:20:00Z,0,1
btc-updown-5m-1777818000,2026-05-02T14:28:35.318694Z,2026-05-03T14:25:00Z,0,1
btc-updown-5m-1777818300,2026-05-02T14:34:13.662582Z,2026-05-03T14:30:00Z,1,0
btc-updown-5m-1777818600,2026-05-02T14:38:38.152024Z,2026-05-03T14:35:00Z,1,0
btc-updown-5m-1777818900,2026-05-02T14:43:26.574741Z,2026-05-03T14:40:00Z,0,1
btc-updown-5m-1777819200,2026-05-02T14:49:08.480284Z,2026-05-03T14:45:00Z,1,0
btc-updown-5m-1777819500,2026-05-02T14:53:48.37927Z,2026-05-03T14:50:00Z,0,1
btc-updown-5m-1777819800,2026-05-02T14:58:37.896961Z,2026-05-03T14:55:00Z,1,0
btc-updown-5m-1777820100,2026-05-02T15:04:05.02755Z,2026-05-03T15:00:00Z,0,1
btc-updown-5m-1777820400,2026-05-02T15:09:10.053894Z,2026-05-03T15:05:00Z,1,0
btc-updown-5m-1777820700,2026-05-02T15:14:12.188603Z,2026-05-03T15:10:00Z,0,1
btc-updown-5m-1777821000,2026-05-02T15:18:35.61114Z,2026-05-03T15:15:00Z,0,1
btc-updown-5m-1777821300,2026-05-02T15:25:20.16545Z,2026-05-03T15:20:00Z,1,0
